Target match within distance of 40m
Target Name, Category, LAT, LONG, Horizontal Distance
SSCPAC-MK49-07-NST,MINE_MOORED,32.5522,-117.186066667,13.0810145608
000-003,MILCO,32.5523166667,-117.18605
,
SSCPAC-MK49-08-NST,MINE_MOORED,32.5490333333,-117.181816667,16.7709035157
000-002,MILCO,32.5491833333,-117.1818
,
SSCPAC-MK49-09-NST,MINE_MOORED,32.5487333333,-117.186083333,14.8425126699
000-008,MILCO,32.5488666667,-117.186083333
,
SSCPAC-MK49-10-NST,MINE_MOORED,32.5459666667,-117.182183333,8.05350041698
000-001,MILCO,32.5460333333,-117.18215
,
SSCPAC-MK49-10-NST,MINE_MOORED,32.5459666667,-117.182183333,8.05350041698
000-019,MILCO,32.5460333333,-117.18215
,
False Alarms
Target Name, Category, LAT, LONG
000-006,MILCO,32.5503833333,-117.1786
000-007,MILCO,32.53985,-117.1848
000-009,MILCO,32.5514833333,-117.1907
000-010,MILCO,32.5424166667,-117.19085
000-011,MILCO,32.5444833333,-117.196933333
000-012,MILCO,32.5495166667,-117.199233333
000-013,MILCO,32.541,-117.20155
000-014,MILCO,32.5453166667,-117.20125
000-015,MILCO,32.5494166667,-117.2082
000-016,MILCO,32.5510166667,-117.211733333
000-017,MILCO,32.54195,-117.199616667

